quantity,symbol,normalizedValue,physicalValue,unit,tolerance,implementation
Frequency unit,"Omega_0/(2 pi)",1,66666666.6666667,Hz,"Chosen scale","Scale fixed by the illustrative loaded linewidth"
Loaded linewidth,"kappa/(2 pi)",0.12,8000000,Hz,"Not swept","Measured-device target, not simulated fabrication tolerance"
Selected coherent hopping,"J_star/(2 pi)",0.65,43333333.3333333,Hz,"4% rms copy disorder, recalibrated","Weighted evanescent couplers"
Static-detuning half span,"max |Delta_0|/(2 pi)",1.05,70000000,Hz,"0.05 normalized rms copy disorder, recalibrated","Static heaters or DC electro-optic bias"
Maximum detuning-modulation scale,"max |g_Delta|/(2 pi)",0.9,60000000,Hz,"10% rms copy disorder, recalibrated","Hybrid electro-optic resonance tuning"
Static drive scale,"F_0/(2 pi)",0.5,33333333.3333333,Hz,"Not swept","Shared coherent optical injection"
Maximum drive-modulation scale,"max |g_F|/(2 pi)",0.125,8333333.33333333,Hz,"10% rms copy disorder, recalibrated","Input Mach-Zehnder modulation"
Input-symbol time,"T_s",0.6875,1.64128535063517e-09,s,"Clock locked","Input hold interval"
Mask-waveform update,"T_m",0.0125,2.98415518297304e-11,s,"Clock locked","Piecewise-constant RF waveform update"
Average virtual-sample rate per detector,"f_v,avg",NaN,3655671451.44994,samples/s,"ADC timing requirement","Six gated samples per symbol"
Peak virtual-sample rate per detector,"f_v,peak",NaN,4188790204.78639,samples/s,"ADC timing requirement","Set by the closest selected virtual-node indices"
On-chip optical input power per ring,"P_in,ring",NaN,2.23677552249076e-10,W,"Illustrative only","Critical-coupling estimate at 1550 nm"
Total on-chip input power for three copies,"P_in,total",NaN,8.05239188096673e-09,W,"Illustrative only","Excludes laser wall-plug and insertion losses"
Uncoupled resonant photon estimate,"n_res",0.5,69.4444444444445,photons,"Illustrative only","Single uncoupled ring exactly on resonance"
Observed maximum sampled photon number,"max sampled |beta|^2",NaN,2.95980740710514,photons,"Measured across locked runs","Computed from locked summaries when available"
Intensity detector/ADC channels,"N_PD",69.4444444444445,36,channels,"Architecture count","One drop-port intensity channel per mode and copy"
Coherent I/Q receiver outputs,"N_IQ",2.95980740710514,72,real channels,"Architecture count","Two quadrature values per mode and copy"
Optical 90-degree hybrids,"N_hybrid",NaN,36,optical hybrids,"Architecture count","One optical 90-degree hybrid per mode and copy"
Balanced photodiodes for I/Q,"N_balancedPD",NaN,144,photodiodes,"Architecture count","Four photodiodes per I/Q hybrid; 72 differential electrical outputs"
High-speed local detuning controls,"N_Delta",NaN,36,RF-weighted electrodes,"Architecture count","Worst-case independent-gain implementation; RF fan-out may reduce sources"
Shared amplitude modulators,"N_AM",NaN,3,modulators,"Architecture count","One shared drive modulator per copy"
Digital multiplications per symbol,"N_MAC",338,338,multiply-accumulates,"Exact digital count","Primary locked linear readout, excluding bias"
