selectionIndex,seedOffset,copies,validationNRMSE
1,101,1,0.272761729302442
2,102,1,0.29023397713327
3,103,1,0.273379222816525
4,104,1,0.262931900611331
5,105,1,0.265791638594781
6,106,1,0.272533926146038
7,107,1,0.278945541149565
8,108,1,0.258421875225048
9,109,1,0.292434288661269
10,110,1,0.273243488098215
1,101,2,0.272761729298685
2,102,2,0.290233977136315
3,103,2,0.273379222809164
4,104,2,0.262931900614469
5,105,2,0.2657916385969
6,106,2,0.272533926148756
7,107,2,0.278945541160668
8,108,2,0.25842187523982
9,109,2,0.292434288665929
10,110,2,0.273243488107553
1,101,3,0.272761729297345
2,102,3,0.290233977145253
3,103,3,0.273379222800303
4,104,3,0.262931900598737
5,105,3,0.265791638613708
6,106,3,0.272533926158635
7,107,3,0.278945541148063
8,108,3,0.258421875240889
9,109,3,0.292434288660378
10,110,3,0.273243488108338
