J,inputGainScale,globalLambda,meanValidationNRMSE,sdValidationNRMSE
0,1,4.64158883361278e-05,0.325566996483086,0.00844456382956571
0,1.25,0.01,0.325956748415765,0.00835230627060444
0,1.5,0.0464158883361278,0.326008714045499,0.00835856871969416
0.45,1,0.0001,0.289038075630755,0.00898501292138438
0.45,1.25,0.000464158883361278,0.28907935110741,0.00897883101918082
0.45,1.5,0.001,0.289108397867932,0.00896028308074132
0.65,1,1e-06,0.274067758773849,0.010877989145942
0.65,1.25,1e-06,0.274238436312807,0.0108343491876786
0.65,1.5,1e-06,0.274475349439932,0.0108041746917807
0.85,1,0.000215443469003188,0.275074396241607,0.0137974465525493
0.85,1.25,0.000215443469003188,0.27508068139639,0.0137799029520696
0.85,1.5,0.000215443469003188,0.275020873221174,0.0137560974656358
