lockedIndex,seedOffset,datasetSeed,method,requestedBudget,actualCoefficients,modelOrder,ridgeLambda,testNRMSE,R2true
1,1001,1010142,input_delays,65,65,64,1e-06,0.384349121196912,0.852275753035161
1,1001,1010142,input_delays,129,129,128,1e-06,0.385034837323907,0.851748174046953
1,1001,1010142,input_delays,257,257,256,1e-06,0.384016367607407,0.852531429409613
1,1001,1010142,input_delays,351,351,350,1e-06,0.38547227129965,0.851411128059089
1,1001,1010142,input_delays,513,513,512,1e-06,0.387112844974071,0.850143645256081
1,1001,1010142,input_delays,1025,1025,1024,4.64158883361278,0.3920176545436,0.846322158526135
1,1001,1010142,input_delays,2049,2049,2048,215.443469003188,0.408247814063476,0.833333722312393
1,1001,1010142,nvar_degree_2,65,55,9,1e-06,0.824539413516033,0.320134755558636
1,1001,1010142,nvar_degree_2,129,120,14,1e-06,0.31311430141013,0.901959434252446
1,1001,1010142,nvar_degree_2,257,253,21,1e-06,0.194171736323042,0.962297336813295
1,1001,1010142,nvar_degree_2,351,351,25,1e-06,0.14294325802218,0.979567224986004
1,1001,1010142,nvar_degree_2,513,496,30,1e-06,0.111599152269285,0.987545629212777
1,1001,1010142,nvar_degree_2,1025,990,43,1e-06,0.0906773214900472,0.991777623367391
1,1001,1010142,nvar_degree_2,2049,2016,62,1e-06,0.0910839160322543,0.991703720240229
1,1001,1010142,nvar_degree_3,65,56,5,46.4158883361278,0.83246934375901,0.306994791701443
1,1001,1010142,nvar_degree_3,129,120,7,46.4158883361278,0.831732263788393,0.308221441373435
1,1001,1010142,nvar_degree_3,257,220,9,100,0.830246927124411,0.310690040000473
1,1001,1010142,nvar_degree_3,351,286,10,100,0.830710832206053,0.309919513255527
1,1001,1010142,nvar_degree_3,513,455,12,10,0.4096844297923,0.832158667985758
1,1001,1010142,nvar_degree_3,1025,969,16,4.64158883361278,0.279041718283457,0.922135719457416
1,1001,1010142,nvar_degree_3,2049,2024,21,4.64158883361278,0.198604059647352,0.960556427491591
1,1001,1010142,tapped_esn,65,53,4,0.0464158883361278,0.392234596281807,0.846152021479648
1,1001,1010142,tapped_esn,129,118,9,0.00464158883361278,0.374012227814478,0.860114853445251
1,1001,1010142,tapped_esn,257,248,19,1e-06,0.342317654126513,0.882818623673321
1,1001,1010142,tapped_esn,351,339,26,0.0001,0.265715979925438,0.929395018012264
1,1001,1010142,tapped_esn,513,508,39,4.64158883361278e-05,0.195113633090243,0.961930670182326
1,1001,1010142,tapped_esn,1025,1015,78,1e-05,0.129048355828873,0.983346521857865
1,1001,1010142,tapped_esn,2049,2042,157,1e-05,0.111100029475309,0.987656783450585
2,1002,1011150,input_delays,65,65,64,1e-06,0.380668510774441,0.855091484904769
2,1002,1011150,input_delays,129,129,128,1e-06,0.381963486440423,0.854103895026277
2,1002,1011150,input_delays,257,257,256,1e-06,0.382253610665493,0.853882177133194
2,1002,1011150,input_delays,351,351,350,1e-06,0.384546568326837,0.852123936788053
2,1002,1011150,input_delays,513,513,512,1e-06,0.386390458575555,0.850702413521772
2,1002,1011150,input_delays,1025,1025,1024,4.64158883361278,0.393937855996696,0.844812965612726
2,1002,1011150,input_delays,2049,2049,2048,215.443469003188,0.406311112170666,0.834911280126637
2,1002,1011150,nvar_degree_2,65,55,9,1e-06,0.804361979528327,0.353001805889271
2,1002,1011150,nvar_degree_2,129,120,14,1e-06,0.270358906339342,0.926906061762995
2,1002,1011150,nvar_degree_2,257,253,21,1e-06,0.152531468572233,0.976734151095198
2,1002,1011150,nvar_degree_2,351,351,25,1e-06,0.105007510200275,0.988973422801539
2,1002,1011150,nvar_degree_2,513,496,30,1e-06,0.0803261882086284,0.993547703487872
2,1002,1011150,nvar_degree_2,1025,990,43,1e-06,0.0670350053491952,0.995506308057833
2,1002,1011150,nvar_degree_2,2049,2016,62,1e-06,0.0709178137394897,0.994970663694411
2,1002,1011150,nvar_degree_3,65,56,5,46.4158883361278,0.814111251481746,0.337222870210825
2,1002,1011150,nvar_degree_3,129,120,7,46.4158883361278,0.810088364138585,0.343756842287272
2,1002,1011150,nvar_degree_3,257,220,9,100,0.811737774461798,0.341081785511808
2,1002,1011150,nvar_degree_3,351,286,10,100,0.813116494137367,0.338841566961757
2,1002,1011150,nvar_degree_3,513,455,12,10,0.376992847481754,0.857876392947599
2,1002,1011150,nvar_degree_3,1025,969,16,4.64158883361278,0.237202798610905,0.943734832331155
2,1002,1011150,nvar_degree_3,2049,2024,21,4.64158883361278,0.159394936475474,0.97459325422598
2,1002,1011150,tapped_esn,65,53,4,0.0464158883361278,0.385044467802037,0.851740757815046
2,1002,1011150,tapped_esn,129,118,9,0.00464158883361278,0.361086855600213,0.869616282712751
2,1002,1011150,tapped_esn,257,248,19,1e-06,0.327528830929461,0.89272486490998
2,1002,1011150,tapped_esn,351,339,26,0.0001,0.242965705386724,0.940967666005931
2,1002,1011150,tapped_esn,513,508,39,4.64158883361278e-05,0.156503000899857,0.975506810709339
2,1002,1011150,tapped_esn,1025,1015,78,1e-05,0.0940206813985217,0.991160111469358
2,1002,1011150,tapped_esn,2049,2042,157,1e-05,0.0770993221876026,0.994055694518212
3,1003,1012159,input_delays,65,65,64,1e-06,0.367133477957759,0.86521300936264
3,1003,1012159,input_delays,129,129,128,1e-06,0.367123966025194,0.865219993569932
3,1003,1012159,input_delays,257,257,256,1e-06,0.368674880014993,0.86407883284593
3,1003,1012159,input_delays,351,351,350,1e-06,0.371575817096197,0.861931412149294
3,1003,1012159,input_delays,513,513,512,1e-06,0.372256006431074,0.861425465675988
3,1003,1012159,input_delays,1025,1025,1024,4.64158883361278,0.384864134316349,0.851879598116927
3,1003,1012159,input_delays,2049,2049,2048,215.443469003188,0.398153647794331,0.841473672748067
3,1003,1012159,nvar_degree_2,65,55,9,1e-06,0.803293403428187,0.35471970800876
3,1003,1012159,nvar_degree_2,129,120,14,1e-06,0.300178158569248,0.909893073117975
3,1003,1012159,nvar_degree_2,257,253,21,1e-06,0.176528012133518,0.968837860932188
3,1003,1012159,nvar_degree_2,351,351,25,1e-06,0.124170771017126,0.984581619625012
3,1003,1012159,nvar_degree_2,513,496,30,1e-06,0.0891896983352151,0.992045197710873
3,1003,1012159,nvar_degree_2,1025,990,43,1e-06,0.0613305497406238,0.996238563668513
3,1003,1012159,nvar_degree_2,2049,2016,62,1e-06,0.0663426231120629,0.995598656358611
3,1003,1012159,nvar_degree_3,65,56,5,46.4158883361278,0.820813427506013,0.326265317225832
3,1003,1012159,nvar_degree_3,129,120,7,46.4158883361278,0.814178842582318,0.337112812291316
3,1003,1012159,nvar_degree_3,257,220,9,100,0.809061423008274,0.345419613799826
3,1003,1012159,nvar_degree_3,351,286,10,100,0.807351877073066,0.348182946586596
3,1003,1012159,nvar_degree_3,513,455,12,10,0.399801536301128,0.840158731571258
3,1003,1012159,nvar_degree_3,1025,969,16,4.64158883361278,0.269684742724727,0.927270139541498
3,1003,1012159,nvar_degree_3,2049,2024,21,4.64158883361278,0.193386778153678,0.96260155403534
3,1003,1012159,tapped_esn,65,53,4,0.0464158883361278,0.371151873062687,0.862246287122059
3,1003,1012159,tapped_esn,129,118,9,0.00464158883361278,0.325619876334617,0.893971696135828
3,1003,1012159,tapped_esn,257,248,19,1e-06,0.260680809874425,0.932045515363214
3,1003,1012159,tapped_esn,351,339,26,0.0001,0.211763210813571,0.955156342545927
3,1003,1012159,tapped_esn,513,508,39,4.64158883361278e-05,0.159276700350851,0.974630932725345
3,1003,1012159,tapped_esn,1025,1015,78,1e-05,0.0934018639846852,0.991276091804186
3,1003,1012159,tapped_esn,2049,2042,157,1e-05,0.0800640842700885,0.993589742409992
4,1004,1013168,input_delays,65,65,64,1e-06,0.370964205931629,0.862385557917516
4,1004,1013168,input_delays,129,129,128,1e-06,0.371445802489584,0.862028015812869
4,1004,1013168,input_delays,257,257,256,1e-06,0.374344931167157,0.859865872509457
4,1004,1013168,input_delays,351,351,350,1e-06,0.37547432223502,0.859019033342153
4,1004,1013168,input_delays,513,513,512,1e-06,0.377432580781628,0.85754464696452
4,1004,1013168,input_delays,1025,1025,1024,4.64158883361278,0.386055712918498,0.85096098652299
4,1004,1013168,input_delays,2049,2049,2048,215.443469003188,0.40558641453378,0.835499660345633
4,1004,1013168,nvar_degree_2,65,55,9,1e-06,0.806911586916411,0.34889369090004
4,1004,1013168,nvar_degree_2,129,120,14,1e-06,0.288630518545093,0.916692423764391
4,1004,1013168,nvar_degree_2,257,253,21,1e-06,0.17319047950154,0.970005057810027
4,1004,1013168,nvar_degree_2,351,351,25,1e-06,0.128143186317604,0.983579323800372
4,1004,1013168,nvar_degree_2,513,496,30,1e-06,0.104482543155337,0.989083398175793
4,1004,1013168,nvar_degree_2,1025,990,43,1e-06,0.0869015409264317,0.992448122184612
4,1004,1013168,nvar_degree_2,2049,2016,62,1e-06,0.0896575907301976,0.991961516424456
4,1004,1013168,nvar_degree_3,65,56,5,46.4158883361278,0.816305512110167,0.333645310898559
4,1004,1013168,nvar_degree_3,129,120,7,46.4158883361278,0.813029772677047,0.338982588740709
4,1004,1013168,nvar_degree_3,257,220,9,100,0.812974589089169,0.339072317495296
4,1004,1013168,nvar_degree_3,351,286,10,100,0.812822683924302,0.339319284498094
4,1004,1013168,nvar_degree_3,513,455,12,10,0.390645224532822,0.847396308549701
4,1004,1013168,nvar_degree_3,1025,969,16,4.64158883361278,0.255028155848842,0.934960639724339
4,1004,1013168,nvar_degree_3,2049,2024,21,4.64158883361278,0.180403382310524,0.967454619650923
4,1004,1013168,tapped_esn,65,53,4,0.0464158883361278,0.377915418580789,0.857179936398907
4,1004,1013168,tapped_esn,129,118,9,0.00464158883361278,0.365851824803286,0.866152442288106
4,1004,1013168,tapped_esn,257,248,19,1e-06,0.283415599024045,0.919675598229842
4,1004,1013168,tapped_esn,351,339,26,0.0001,0.241921609574557,0.941473934820856
4,1004,1013168,tapped_esn,513,508,39,4.64158883361278e-05,0.16092872089756,0.974101946790275
4,1004,1013168,tapped_esn,1025,1015,78,1e-05,0.110792006922659,0.987725131202049
4,1004,1013168,tapped_esn,2049,2042,157,1e-05,0.102525814296929,0.989488457402752
5,1005,1014177,input_delays,65,65,64,1e-06,0.380089924362006,0.855531649398485
5,1005,1014177,input_delays,129,129,128,1e-06,0.381239279908982,0.854656611454481
5,1005,1014177,input_delays,257,257,256,1e-06,0.38297360185339,0.853331220283441
5,1005,1014177,input_delays,351,351,350,1e-06,0.384484689896587,0.852171523235126
5,1005,1014177,input_delays,513,513,512,1e-06,0.388040392318099,0.849424653929616
5,1005,1014177,input_delays,1025,1025,1024,4.64158883361278,0.393441246455695,0.845203985587389
5,1005,1014177,input_delays,2049,2049,2048,215.443469003188,0.406309107664288,0.83491290902905
5,1005,1014177,nvar_degree_2,65,55,9,1e-06,0.824035274611052,0.320965866196688
5,1005,1014177,nvar_degree_2,129,120,14,1e-06,0.292543903835752,0.914418064328539
5,1005,1014177,nvar_degree_2,257,253,21,1e-06,0.170834926705785,0.970815427817429
5,1005,1014177,nvar_degree_2,351,351,25,1e-06,0.120117794496381,0.985571715445325
5,1005,1014177,nvar_degree_2,513,496,30,1e-06,0.093137126869288,0.991325475598534
5,1005,1014177,nvar_degree_2,1025,990,43,1e-06,0.0795116053695082,0.993677904611564
5,1005,1014177,nvar_degree_2,2049,2016,62,1e-06,0.0820099709225861,0.993274364669277
5,1005,1014177,nvar_degree_3,65,56,5,46.4158883361278,0.832163524763828,0.307503868052641
5,1005,1014177,nvar_degree_3,129,120,7,46.4158883361278,0.830092151826559,0.310947019475952
5,1005,1014177,nvar_degree_3,257,220,9,100,0.829071475687582,0.312640488201215
5,1005,1014177,nvar_degree_3,351,286,10,100,0.828116384885571,0.314223253084053
5,1005,1014177,nvar_degree_3,513,455,12,10,0.397979580962541,0.84161225313688
5,1005,1014177,nvar_degree_3,1025,969,16,4.64158883361278,0.260304141163604,0.932241754093078
5,1005,1014177,nvar_degree_3,2049,2024,21,4.64158883361278,0.179544775800857,0.96776367348262
5,1005,1014177,tapped_esn,65,53,4,0.0464158883361278,0.382142839421452,0.85396685027891
5,1005,1014177,tapped_esn,129,118,9,0.00464158883361278,0.363288940844605,0.868021145460005
5,1005,1014177,tapped_esn,257,248,19,1e-06,0.294750618116104,0.913122073120175
5,1005,1014177,tapped_esn,351,339,26,0.0001,0.203715211169484,0.958500112738172
5,1005,1014177,tapped_esn,513,508,39,4.64158883361278e-05,0.148932520783234,0.977819104253152
5,1005,1014177,tapped_esn,1025,1015,78,1e-05,0.0864647987382782,0.992523838579149
5,1005,1014177,tapped_esn,2049,2042,157,1e-05,0.0719256537413005,0.994826700333887
6,1006,1015186,input_delays,65,65,64,1e-06,0.389471001723448,0.848312338816534
6,1006,1015186,input_delays,129,129,128,1e-06,0.390034515949152,0.847873076368311
6,1006,1015186,input_delays,257,257,256,1e-06,0.391777018320785,0.846510767915675
6,1006,1015186,input_delays,351,351,350,1e-06,0.391571392036324,0.846671844938735
6,1006,1015186,input_delays,513,513,512,1e-06,0.39255814356122,0.845898103923769
6,1006,1015186,input_delays,1025,1025,1024,4.64158883361278,0.395061895069466,0.843926099064123
6,1006,1015186,input_delays,2049,2049,2048,215.443469003188,0.413202581426198,0.829263626702726
6,1006,1015186,nvar_degree_2,65,55,9,1e-06,0.815768475732094,0.334521794001737
6,1006,1015186,nvar_degree_2,129,120,14,1e-06,0.336268298010846,0.886923631752889
6,1006,1015186,nvar_degree_2,257,253,21,1e-06,0.228167120182968,0.947939765267411
6,1006,1015186,nvar_degree_2,351,351,25,1e-06,0.185035550521374,0.965761845043252
6,1006,1015186,nvar_degree_2,513,496,30,1e-06,0.158071000668339,0.97501355874771
6,1006,1015186,nvar_degree_2,1025,990,43,1e-06,0.135462184187211,0.98164999665523
6,1006,1015186,nvar_degree_2,2049,2016,62,1e-06,0.132830852675035,0.982355964577623
6,1006,1015186,nvar_degree_3,65,56,5,46.4158883361278,0.825320310748955,0.318846384665248
6,1006,1015186,nvar_degree_3,129,120,7,46.4158883361278,0.822970941186755,0.322718829962187
6,1006,1015186,nvar_degree_3,257,220,9,100,0.821345397648188,0.32539173776214
6,1006,1015186,nvar_degree_3,351,286,10,100,0.820629402407135,0.326567383904909
6,1006,1015186,nvar_degree_3,513,455,12,10,0.428779267217058,0.816148340004803
6,1006,1015186,nvar_degree_3,1025,969,16,4.64158883361278,0.306284964739268,0.906189520374665
6,1006,1015186,nvar_degree_3,2049,2024,21,4.64158883361278,0.231430725541614,0.946439819275282
6,1006,1015186,tapped_esn,65,53,4,0.0464158883361278,0.404049048663066,0.836744366274471
6,1006,1015186,tapped_esn,129,118,9,0.00464158883361278,0.396004010125123,0.843180823964821
6,1006,1015186,tapped_esn,257,248,19,1e-06,0.347883127047485,0.878977329915663
6,1006,1015186,tapped_esn,351,339,26,0.0001,0.289655534351896,0.916099671419318
6,1006,1015186,tapped_esn,513,508,39,4.64158883361278e-05,0.22326063723423,0.950154687861766
6,1006,1015186,tapped_esn,1025,1015,78,1e-05,0.175488807518003,0.969203678435909
6,1006,1015186,tapped_esn,2049,2042,157,1e-05,0.155566166654436,0.975799167792444
7,1007,1016195,input_delays,65,65,64,1e-06,0.366196422083588,0.865900180453179
7,1007,1016195,input_delays,129,129,128,1e-06,0.367003509029727,0.865308424359867
7,1007,1016195,input_delays,257,257,256,1e-06,0.367631712417123,0.864846924025254
7,1007,1016195,input_delays,351,351,350,1e-06,0.369837335587111,0.863220345205827
7,1007,1016195,input_delays,513,513,512,1e-06,0.374052448325385,0.860084765901786
7,1007,1016195,input_delays,1025,1025,1024,4.64158883361278,0.387711505589577,0.849679788433464
7,1007,1016195,input_delays,2049,2049,2048,215.443469003188,0.400668201431934,0.839464992361299
7,1007,1016195,nvar_degree_2,65,55,9,1e-06,0.812951768162196,0.33910942264196
7,1007,1016195,nvar_degree_2,129,120,14,1e-06,0.270302946424839,0.926936317154051
7,1007,1016195,nvar_degree_2,257,253,21,1e-06,0.15147564243251,0.977055129749658
7,1007,1016195,nvar_degree_2,351,351,25,1e-06,0.101996982814958,0.989596615496645
7,1007,1016195,nvar_degree_2,513,496,30,1e-06,0.0736913046111392,0.994569591624708
7,1007,1016195,nvar_degree_2,1025,990,43,1e-06,0.0515415577989083,0.997343467819662
7,1007,1016195,nvar_degree_2,2049,2016,62,1e-06,0.0507510557783566,0.997424330337382
7,1007,1016195,nvar_degree_3,65,56,5,46.4158883361278,0.81829039500822,0.330400829437291
7,1007,1016195,nvar_degree_3,129,120,7,46.4158883361278,0.817676864400083,0.331404545424847
7,1007,1016195,nvar_degree_3,257,220,9,100,0.815920166112881,0.334274282530329
7,1007,1016195,nvar_degree_3,351,286,10,100,0.814627533213076,0.336381982131179
7,1007,1016195,nvar_degree_3,513,455,12,10,0.370452098363505,0.862765242818076
7,1007,1016195,nvar_degree_3,1025,969,16,4.64158883361278,0.233122050285632,0.945654109670623
7,1007,1016195,nvar_degree_3,2049,2024,21,4.64158883361278,0.153823923839277,0.976338200454688
7,1007,1016195,tapped_esn,65,53,4,0.0464158883361278,0.365496338075158,0.866412426853649
7,1007,1016195,tapped_esn,129,118,9,0.00464158883361278,0.351881332972901,0.876179527505214
7,1007,1016195,tapped_esn,257,248,19,1e-06,0.29996622514693,0.910020263771101
7,1007,1016195,tapped_esn,351,339,26,0.0001,0.257329918788402,0.933781312896355
7,1007,1016195,tapped_esn,513,508,39,4.64158883361278e-05,0.143621518637321,0.97937285938431
7,1007,1016195,tapped_esn,1025,1015,78,1e-05,0.0795643545144743,0.993669513490695
7,1007,1016195,tapped_esn,2049,2042,157,1e-05,0.0643304659198063,0.995861591154541
8,1008,1017204,input_delays,65,65,64,1e-06,0.37496189844015,0.859403574718159
8,1008,1017204,input_delays,129,129,128,1e-06,0.374541814878002,0.859718428907892
8,1008,1017204,input_delays,257,257,256,1e-06,0.375468947262773,0.859023069641385
8,1008,1017204,input_delays,351,351,350,1e-06,0.377387476792551,0.857578692360151
8,1008,1017204,input_delays,513,513,512,1e-06,0.380748436244152,0.855030628297633
8,1008,1017204,input_delays,1025,1025,1024,4.64158883361278,0.384853055557844,0.851888125627791
8,1008,1017204,input_delays,2049,2049,2048,215.443469003188,0.400763045678842,0.839388981218218
8,1008,1017204,nvar_degree_2,65,55,9,1e-06,0.800712082472653,0.358860160982308
8,1008,1017204,nvar_degree_2,129,120,14,1e-06,0.277635424357338,0.922918571141921
8,1008,1017204,nvar_degree_2,257,253,21,1e-06,0.165888562761155,0.972480984745038
8,1008,1017204,nvar_degree_2,351,351,25,1e-06,0.118908415230778,0.985860788787305
8,1008,1017204,nvar_degree_2,513,496,30,1e-06,0.0920490670321281,0.991526969258515
8,1008,1017204,nvar_degree_2,1025,990,43,1e-06,0.0735768100664341,0.994586453020448
8,1008,1017204,nvar_degree_2,2049,2016,62,1e-06,0.0754460298640584,0.994307896577752
8,1008,1017204,nvar_degree_3,65,56,5,46.4158883361278,0.805875742203351,0.350564288128198
8,1008,1017204,nvar_degree_3,129,120,7,46.4158883361278,0.804946306264509,0.352061444031123
8,1008,1017204,nvar_degree_3,257,220,9,100,0.805962629231665,0.350424240281981
8,1008,1017204,nvar_degree_3,351,286,10,100,0.804551524650869,0.352696844181962
8,1008,1017204,nvar_degree_3,513,455,12,10,0.379820623946715,0.855736293624728
8,1008,1017204,nvar_degree_3,1025,969,16,4.64158883361278,0.249321618397135,0.937838730599833
8,1008,1017204,nvar_degree_3,2049,2024,21,4.64158883361278,0.178354816931014,0.968189559277505
8,1008,1017204,tapped_esn,65,53,4,0.0464158883361278,0.379370247580547,0.856078215250674
8,1008,1017204,tapped_esn,129,118,9,0.00464158883361278,0.374175090650704,0.859993001536537
8,1008,1017204,tapped_esn,257,248,19,1e-06,0.319843486327539,0.897700144253845
8,1008,1017204,tapped_esn,351,339,26,0.0001,0.225040188943022,0.949356913360489
8,1008,1017204,tapped_esn,513,508,39,4.64158883361278e-05,0.170973267163461,0.970768141915452
8,1008,1017204,tapped_esn,1025,1015,78,1e-05,0.106885753743897,0.988575435646599
