method,requestedBudget,actualCoefficients,meanTestNRMSE,sdTestNRMSE,medianTestNRMSE,q25TestNRMSE,q75TestNRMSE,meanCI95Low,meanCI95High,medianCI95Low,medianCI95High
input_delays,65,65,0.380986304093022,0.00984440140527126,0.382436711718334,0.37283653664366,0.386034112105853,0.377557211062773,0.384513013445222,0.377289277082684,0.384833985631031
input_delays,129,129,0.381900533478535,0.00997176879610293,0.383112320735199,0.373907093610827,0.38758835872114,0.378467445829733,0.385452328812973,0.377506007381326,0.38616191258637
input_delays,257,257,0.383218821859485,0.00980184169128377,0.383494984730399,0.374344931167157,0.390097603122858,0.37973016201661,0.386707525325244,0.378550046143263,0.388651222422991
input_delays,351,351,0.384590485724748,0.00969128532030896,0.38504638918761,0.375793529455971,0.3910232276243,0.381139620379463,0.387990140344246,0.380248709715719,0.389641149665728
input_delays,513,513,0.386867542306025,0.00964438735202281,0.388242983237785,0.380748436244152,0.392820723413048,0.383465153327658,0.390308732380766,0.382281362076251,0.391570794236402
input_delays,1025,1025,0.394361384021109,0.00944229310251893,0.394413871280479,0.387613260781727,0.401786276742468,0.391003265725418,0.397670715798862,0.389863425876872,0.397013756570539
input_delays,2049,2049,0.407558527985879,0.00916520879782318,0.406310109917477,0.401562167602562,0.41260499867303,0.40439940029003,0.410797963963042,0.404791819092658,0.410657110414302
nvar_degree_2,65,55,0.810034444957716,0.00886070728577868,0.809400871164649,0.804799151527325,0.81473585416683,0.80696909575768,0.813266950388288,0.806537724030529,0.811702567899465
nvar_degree_2,129,120,0.28370839277241,0.0288558851856141,0.275124530406307,0.260434443755196,0.305190792734437,0.27371071330486,0.294119182990795,0.265354835686387,0.293711498048361
nvar_degree_2,257,253,0.168078902132184,0.0279925282350895,0.160590816485853,0.146279857830191,0.18222926872336,0.158683306223893,0.178377547890615,0.149624574159282,0.174362952148734
nvar_degree_2,351,351,0.120733051273375,0.0280077676147023,0.119330922613648,0.100238157045898,0.130449162063761,0.111584711195216,0.131146857210016,0.102316335118709,0.126664647302882
nvar_degree_2,513,496,0.0942253098035786,0.0269061908846595,0.0906193826836716,0.0745693555025739,0.104482543155337,0.0851944776061351,0.104034229524321,0.0784110823116891,0.099460255340315
nvar_degree_2,1025,990,0.0761242673971842,0.024174573846591,0.0726395147975291,0.059208578701089,0.0849740743551644,0.0680062052384885,0.0848819891903262,0.0633662297359067,0.0811684772843839
nvar_degree_2,2049,2016,0.0777528517630987,0.0234654258510432,0.0741659339213147,0.0605529673911624,0.0896575907301976,0.0696444123510042,0.086365167521911,0.0676386186756458,0.0827341097946448
nvar_degree_3,65,56,0.818199207842026,0.00878635567958164,0.818229637499448,0.814111251481746,0.820945822641218,0.815168540263521,0.821409459777631,0.815967333819032,0.820769012811697
nvar_degree_3,129,120,0.815794511229407,0.00903364315474204,0.814594345397475,0.810639526616127,0.818949111589996,0.812721323729116,0.818996651649722,0.812444871742527,0.817460219458106
nvar_degree_3,257,220,0.815656828201485,0.00909636303445599,0.814555455705394,0.810528692613767,0.819672148080085,0.812578944552701,0.818940673291866,0.811298905965181,0.816623562531485
nvar_degree_3,351,286,0.815663481131599,0.00931090001887318,0.814285177018236,0.81062604274754,0.820629402407135,0.812444777905054,0.819042683131363,0.811527116799667,0.817264256395227
nvar_degree_3,513,455,0.386859877331958,0.0238485366905819,0.380111265712165,0.370175557825785,0.402863269184966,0.378677018598779,0.395439469611869,0.370831032873673,0.397703187997152
nvar_degree_3,1025,969,0.252714845549103,0.0272815503015392,0.244939480852016,0.233122050285632,0.269684742724727,0.243352051692928,0.262498716505401,0.234490422261513,0.261174681694501
nvar_degree_3,2049,2024,0.176611781491786,0.0254827423677461,0.171065687342213,0.15493011914172,0.190470879171791,0.167944889329774,0.18582718012748,0.160908577673689,0.183744768838811
tapped_esn,65,53,0.387216718073482,0.0124362245866409,0.387795418981869,0.380626738908526,0.390743620402691,0.382950766378417,0.39179926536566,0.381847221107902,0.389292287433331
tapped_esn,129,118,0.37445449335726,0.015796037302869,0.374093659232591,0.365851824803286,0.382823075980183,0.36873129605522,0.379870386241944,0.369785080140648,0.377942012345715
tapped_esn,257,248,0.321020305319926,0.0250223770348119,0.318651735845868,0.302250589641056,0.339318046563451,0.312354345652884,0.330111606559189,0.310350640425634,0.332676331443884
tapped_esn,351,339,0.259619151938562,0.0327385633492292,0.257410639811004,0.239751639617348,0.280674413381259,0.248645551701874,0.271062191224666,0.242424992860222,0.266721726983392
tapped_esn,513,508,0.179492534898003,0.030745300846355,0.174905983268875,0.157535221897996,0.197309471453644,0.169048710124233,0.190596138093469,0.161471991073353,0.192863713298873
tapped_esn,1025,1015,0.106725069941399,0.0310519711249779,0.0945864455924796,0.0849471026578957,0.119491650906501,0.0965562637395336,0.118200688790507,0.0878382412227186,0.109632504167852
tapped_esn,2049,2042,0.0912358796909224,0.0308905058736321,0.0819304835411653,0.0666748915611423,0.102525814296929,0.0812516961321541,0.102741709813486,0.072643567046025,0.0959777419684808
