caseLabel,featureMode,variant,K,J,nPC,tapDelays,readoutCoefficients,valNRMSE,testNRMSE,R2true,lambdaBest,lockedIndex
K+0_J0,linear_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.358510930373033,0.385734206841913,0.851209121672041,0.000464158883361278,1
K+0_J0,linear_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.335542774935612,0.349222456882873,0.87804367560869,0.000464158883361278,1
K+0_J0,linear_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.300073881604313,0.306569460608544,0.906015165822186,0.00464158883361278,1
K+0_J0,linear_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.296176169526929,0.304225087668292,0.90744709603322,0.01,1
K+0_J0,linear_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.295634152772199,0.299400323244792,0.910359446440914,0.0464158883361278,1
K+0_J0,linear_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.294803283749453,0.298040787223799,0.911171689151018,21.5443469003188,1
K+0_J0,linear_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.295655914213965,0.299422709144248,0.910346041248719,1000,1
K+0_J0,number_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.350573931995371,0.380167073803037,0.855472995996036,1e-06,1
K+0_J0,number_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.324133338472107,0.353089132753749,0.875328064331206,4.64158883361278e-05,1
K+0_J0,number_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.305973309599165,0.310417029832276,0.903641267590108,0.0001,1
K+0_J0,number_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.300544700439744,0.30556131785549,0.906632281030416,0.000464158883361278,1
K+0_J0,number_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.296710645521417,0.302122776657727,0.908721827824625,0.0001,1
K+0_J0,number_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.295842687191879,0.299080647672116,0.910550766188028,4.64158883361278,1
K+0_J0,number_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.295084323792785,0.295402518066392,0.912737352320035,464.158883361278,1
K+0_J0.65,linear_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.356509884545267,0.384874666933287,0.851871490752992,0.000464158883361278,1
K+0_J0.65,linear_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.334686793437916,0.362896714096474,0.868305974897982,0.001,1
K+0_J0.65,linear_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.275862718770866,0.298625570050686,0.910822768911903,1e-06,1
K+0_J0.65,linear_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.263371989674893,0.280925483509733,0.921080872714823,0.0001,1
K+0_J0.65,linear_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.252647449843628,0.266824380713606,0.928804749856801,0.0001,1
K+0_J0.65,linear_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.249997609794707,0.264649896006851,0.929960432543563,2.15443469003188,1
K+0_J0.65,linear_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.253101113205209,0.263363747684968,0.930639536405328,21.5443469003188,1
K+0_J0.65,number_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.362700497318891,0.385794252903261,0.851162794426815,1e-06,1
K+0_J0.65,number_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.358841544516618,0.378008871545174,0.857109293033144,0.01,1
K+0_J0.65,number_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.337281063752777,0.349834711535985,0.877615674604534,0.00215443469003188,1
K+0_J0.65,number_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.319520653884117,0.331877308708826,0.889857451964186,0.001,1
K+0_J0.65,number_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.280291818788792,0.296422920788088,0.912133452031459,0.000215443469003188,1
K+0_J0.65,number_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.252502493771041,0.258159466166375,0.933353690028692,2.15443469003189e-06,1
K+0_J0.65,number_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.251083661947446,0.258583754227431,0.933134442049647,100,1
K+0_J0,linear_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.382130107609797,0.376191108519783,0.858480249870657,0.000464158883361278,2
K+0_J0,linear_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.364131385232927,0.366070101890481,0.865992680501893,0.000464158883361278,2
K+0_J0,linear_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.317719483516671,0.322766412072747,0.895821843237686,0.00464158883361278,2
K+0_J0,linear_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.31515176009826,0.318767341293739,0.898387382124521,0.01,2
K+0_J0,linear_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.308952153024585,0.314349678401014,0.901184279689179,0.0464158883361278,2
K+0_J0,linear_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.307420822998173,0.310080232955626,0.903850249130185,21.5443469003188,2
K+0_J0,linear_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.311626687404847,0.310480781880119,0.90360168408311,1000,2
K+0_J0,number_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.380272906301678,0.370853892217036,0.862467390627475,1e-06,2
K+0_J0,number_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.342914458017704,0.33463598647901,0.88801875655322,4.64158883361278e-05,2
K+0_J0,number_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.315703663629822,0.321264838867971,0.896788903307137,0.0001,2
K+0_J0,number_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.317161599069955,0.315723669410671,0.900318564573861,0.000464158883361278,2
K+0_J0,number_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.313206938154279,0.316681283578304,0.899712964631198,0.0001,2
K+0_J0,number_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.310176374671059,0.314492256431252,0.90109462064478,4.64158883361278,2
K+0_J0,number_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.308431237650701,0.313641713647941,0.901628875459983,464.158883361278,2
K+0_J0.65,linear_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.367315804526414,0.372403229657826,0.86131583454042,0.000464158883361278,2
K+0_J0.65,linear_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.342004000541312,0.345206904563883,0.880832193041422,0.001,2
K+0_J0.65,linear_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.278848975415836,0.289756280456719,0.916041297935888,1e-06,2
K+0_J0.65,linear_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.270294738336343,0.278831498745989,0.922252995307066,0.0001,2
K+0_J0.65,linear_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.264495864171171,0.273334198835443,0.925288415746987,0.0001,2
K+0_J0.65,linear_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.262189668005107,0.267179057138417,0.928615351426627,2.15443469003188,2
K+0_J0.65,linear_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.263399785176369,0.267175792543827,0.928617095878578,21.5443469003188,2
K+0_J0.65,number_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.403537513443169,0.409299371109296,0.832474024809535,1e-06,2
K+0_J0.65,number_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.36244643634455,0.367593895821462,0.8648747277548,0.01,2
K+0_J0.65,number_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.334798525063242,0.334409374824738,0.888170370029328,0.00215443469003188,2
K+0_J0.65,number_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.321708901071519,0.318997908810657,0.898240334174428,0.001,2
