featureMode,J,variant,coefficients,n,meanNRMSE,sdNRMSE,medianNRMSE,ciHalfWidth
linear_features,0,Budget1025,1015,30,0.306221246818941,0.0121202225702687,0.308243504761655,0.00433716594509668
linear_features,0,Budget129,118,30,0.350984406825363,0.0158893299662278,0.348646909617192,0.00568592370481524
linear_features,0,Budget2049,2042,30,0.3100792948911,0.0122113699821189,0.311015133392809,0.00436978262753534
linear_features,0,Budget257,248,30,0.314375962411451,0.0139900153055374,0.313414373663409,0.00500626268228776
linear_features,0,Budget351,339,30,0.311757143256683,0.0145119987262611,0.311221454761095,0.0051930520504815
linear_features,0,Budget513,508,30,0.308077323706267,0.0131612855560999,0.308757326937948,0.00470970555009734
linear_features,0,Budget65,53,30,0.380028644411079,0.0136250995196725,0.382272588003859,0.00487567924538258
linear_features,0.65,Budget1025,1015,30,0.260075511531664,0.0150537164028,0.26013733652234,0.00538690323142472
linear_features,0.65,Budget129,118,30,0.351450133704199,0.0157604738040256,0.350828295313607,0.00563981311936359
linear_features,0.65,Budget2049,2042,30,0.261722572905269,0.013224222468809,0.26208611777857,0.00473222723506712
linear_features,0.65,Budget257,248,30,0.294859112195598,0.0174718051077411,0.291185147493493,0.0062522051615246
linear_features,0.65,Budget351,339,30,0.278718522979531,0.0180988752879052,0.27820702474961,0.00647659934363023
linear_features,0.65,Budget513,508,30,0.266066283231648,0.0165641178384585,0.264927503044259,0.00592739344372764
linear_features,0.65,Budget65,53,30,0.382159226270635,0.016164780904375,0.380428510311818,0.0057844925571239
number_features,0,Budget1025,1015,30,0.308685849876554,0.0126005741395029,0.308059983843499,0.00450905754656504
number_features,0,Budget129,118,30,0.341102479256756,0.0248324997629384,0.336677062702068,0.00888619591587665
number_features,0,Budget2049,2042,30,0.320078873808414,0.0480968342895162,0.310541414175164,0.0172112311088379
number_features,0,Budget257,248,30,0.318518246660827,0.0136488864185096,0.31775528715668,0.00488419127781248
number_features,0,Budget351,339,30,0.314494352823989,0.0128620507457565,0.313177532536389,0.00460262574842831
number_features,0,Budget513,508,30,0.310896050023071,0.0124946182894637,0.309782799882987,0.0044711417325765
number_features,0,Budget65,53,30,0.375632009255348,0.0278005795499646,0.371066723409304,0.00994830962707184
number_features,0.65,Budget1025,1015,30,0.26403935656668,0.0174968375924551,0.262376035327368,0.00626116292113615
number_features,0.65,Budget129,118,30,0.37380863892962,0.0204742078883889,0.374799453610962,0.00732660119824692
number_features,0.65,Budget2049,2042,30,0.260112411502972,0.0157805691459046,0.260525911604637,0.00564700414510157
number_features,0.65,Budget257,248,30,0.342239363859275,0.0179420273974309,0.340243407412995,0.00642047204685976
number_features,0.65,Budget351,339,30,0.324799689089756,0.0171977774365202,0.323482486925102,0.0061541456187445
number_features,0.65,Budget513,508,30,0.297511568317638,0.0198781489428499,0.29765528776349,0.00711330424393163
number_features,0.65,Budget65,53,30,0.417196122963278,0.0486964453046,0.403077375932345,0.0174257991549153
