lockedIndex,seedOffset,featureMode,K,J,valNRMSE,testNRMSE,R2true,lambdaBest
1,1001,linear_features,0,0,0.296176169526929,0.304225087668292,0.90744709603322,0.01
1,1001,number_features,0,0,0.300544700439744,0.30556131785549,0.906632281030416,0.000464158883361278
1,1001,linear_features,0,0.65,0.263371989674893,0.280925483509733,0.921080872714823,0.0001
1,1001,number_features,0,0.65,0.319520653884117,0.331877308708826,0.889857451964186,0.001
2,1002,linear_features,0,0,0.31515176009826,0.318767341293739,0.898387382124521,0.01
2,1002,number_features,0,0,0.317161599069955,0.315723669410671,0.900318564573861,0.000464158883361278
2,1002,linear_features,0,0.65,0.270294738336343,0.278831498745989,0.922252995307066,0.0001
2,1002,number_features,0,0.65,0.321708901071519,0.318997908810657,0.898240334174428,0.001
3,1003,linear_features,0,0,0.302035644916594,0.290139568448639,0.915819030820437,0.01
3,1003,number_features,0,0,0.310070341904744,0.291695100639232,0.914913968263068,0.000464158883361278
3,1003,linear_features,0,0.65,0.27350592576247,0.267109735665557,0.928652389112676,0.0001
3,1003,number_features,0,0.65,0.322353260814437,0.30989333278904,0.903966122292901,0.001
4,1004,linear_features,0,0,0.314821619002149,0.289625274635743,0.916117200292171,0.01
4,1004,number_features,0,0,0.323060298360184,0.294090645009205,0.91351069251807,0.000464158883361278
4,1004,linear_features,0,0.65,0.269313236885929,0.253235757367176,0.935871651190673,0.0001
4,1004,number_features,0,0.65,0.306231256415788,0.295723372861414,0.912547686743469,0.001
5,1005,linear_features,0,0,0.301003721838007,0.306865602801358,0.905833501817359,0.01
5,1005,number_features,0,0,0.307605674984301,0.309314610359924,0.904324471817889,0.000464158883361278
5,1005,linear_features,0,0.65,0.263577776713949,0.277376667904671,0.923062184102102,0.0001
5,1005,number_features,0,0.65,0.322136510215211,0.324984619560648,0.894384997049021,0.001
6,1006,linear_features,0,0,0.319926044673057,0.311648926647038,0.902874946519749,0.01
6,1006,number_features,0,0,0.323932279598273,0.313065326803076,0.901990101153683,0.000464158883361278
6,1006,linear_features,0,0.65,0.273994584466594,0.297899734223076,0.911255748349821,0.0001
6,1006,number_features,0,0.65,0.318588982841404,0.343317655010416,0.882132987758149,0.001
7,1007,linear_features,0,0,0.322241561880624,0.299791936924607,0.910124794554993,0.01
7,1007,number_features,0,0,0.325352634632697,0.305731494720829,0.906528253135768,0.000464158883361278
7,1007,linear_features,0,0.65,0.281772134879006,0.262598239634082,0.931042164541081,0.0001
7,1007,number_features,0,0.65,0.315203585738325,0.29995656369077,0.910026059898825,0.001
8,1008,linear_features,0,0,0.300334175410116,0.28121893618305,0.920915909932074,0.01
8,1008,number_features,0,0,0.294862252971837,0.29365330357012,0.913767737302355,0.000464158883361278
8,1008,linear_features,0,0.65,0.271555113087668,0.245725937329087,0.939618763723741,0.0001
8,1008,number_features,0,0.65,0.314202488238908,0.289731386743335,0.916055723535784,0.001
9,1009,linear_features,0,0,0.317907534784623,0.315303528046776,0.900583685201256,0.01
9,1009,number_features,0,0,0.319416374557966,0.320888385890425,0.897030643800638,0.000464158883361278
9,1009,linear_features,0,0.65,0.285300864875933,0.280617481830657,0.921253828891021,0.0001
9,1009,number_features,0,0.65,0.321874209210149,0.320835067778728,0.897064859283419,0.001
10,1010,linear_features,0,0,0.312304495074409,0.303372215682996,0.90796529875159,0.01
10,1010,number_features,0,0,0.314818642363262,0.312789482377373,0.902162739714095,0.000464158883361278
10,1010,linear_features,0,0.65,0.268115351934787,0.269674787171889,0.927275509163796,0.0001
10,1010,number_features,0,0.65,0.323796755641283,0.32326491658747,0.895499793703696,0.001
11,1011,linear_features,0,0,0.310315814329633,0.324703809199278,0.894567436291479,0.01
11,1011,number_features,0,0,0.315023027544758,0.329086466116668,0.891702097818843,0.000464158883361278
11,1011,linear_features,0,0.65,0.272265065709442,0.29148327613081,0.91503749973605,0.0001
11,1011,number_features,0,0.65,0.333002592466688,0.341956368346492,0.883065842147278,0.001
12,1012,linear_features,0,0,0.319747225613475,0.295358573068987,0.912763313314652,0.01
12,1012,number_features,0,0,0.324170526547719,0.303752909384012,0.907734170040748,0.000464158883361278
12,1012,linear_features,0,0.65,0.271346919862983,0.259234220207514,0.932797619073402,0.0001
12,1012,number_features,0,0.65,0.341251882332694,0.319318776482873,0.898035518985481,0.001
13,1013,linear_features,0,0,0.320141480687365,0.307480679527256,0.905455631717457,0.01
13,1013,number_features,0,0,0.32654946693458,0.314222154960948,0.901264437331698,0.000464158883361278
13,1013,linear_features,0,0.65,0.2779380974892,0.267223436787516,0.928591634831468,0.0001
13,1013,number_features,0,0.65,0.321331798782156,0.307046475952959,0.905722461604869,0.001
14,1014,linear_features,0,0,0.312404755537973,0.301631911677193,0.909018189857962,0.01
14,1014,number_features,0,0,0.312029632067031,0.303711066084415,0.907759588337868,0.000464158883361278
14,1014,linear_features,0,0.65,0.286883230328334,0.257787439163057,0.933545636209753,0.0001
14,1014,number_features,0,0.65,0.328108116975847,0.304092963813543,0.907527469359095,0.001
15,1015,linear_features,0,0,0.301474423390385,0.325316680748421,0.89416905722683,0.01
15,1015,number_features,0,0,0.30275028225211,0.328643358853611,0.891993542681417,0.000464158883361278
15,1015,linear_features,0,0.65,0.266317437229656,0.28088141801271,0.92110562901517,0.0001
15,1015,number_features,0,0.65,0.324071656999186,0.33353996670028,0.888751090613576,0.001
16,1016,linear_features,0,0,0.294421463684898,0.325027407434746,0.894357184416248,0.01
16,1016,number_features,0,0,0.296296202312324,0.327766059396453,0.892569410307721,0.000464158883361278
16,1016,linear_features,0,0.65,0.256417551779671,0.281983542350788,0.920485281843301,0.0001
16,1016,number_features,0,0.65,0.316093286281408,0.342969814388814,0.882371706418103,0.001
17,1017,linear_features,0,0,0.333988142823005,0.295333880753337,0.912777898879173,0.01
17,1017,number_features,0,0,0.345850296080918,0.298123878732834,0.911122152929291,0.000464158883361278
17,1017,linear_features,0,0.65,0.318886747886327,0.25941024946694,0.9327063224715,0.0001
17,1017,number_features,0,0.65,0.381397814740335,0.323700057262733,0.895218272928103,0.001
18,1018,linear_features,0,0,0.305255935803113,0.310793982875151,0.903407100208601,0.01
18,1018,number_features,0,0,0.309419989330089,0.31819376905049,0.898752725337444,0.000464158883361278
18,1018,linear_features,0,0.65,0.269152731549949,0.283130513847375,0.919837112128522,0.0001
18,1018,number_features,0,0.65,0.330174797485461,0.33820036931537,0.885620510194947,0.001
19,1019,linear_features,0,0,0.331630652452536,0.32109338845045,0.896899035893408,0.01
19,1019,number_features,0,0,0.332910206179365,0.313289738269701,0.901849539894902,0.000464158883361278
19,1019,linear_features,0,0.65,0.286180808552037,0.275661659452618,0.924010649507829,0.0001
19,1019,number_features,0,0.65,0.342722528536398,0.321832386767458,0.896423914827561,0.001
20,1020,linear_features,0,0,0.317914303707666,0.30534280477631,0.906765771571336,0.01
20,1020,number_features,0,0,0.316658948366369,0.306530741299078,0.906038904638638,0.000464158883361278
20,1020,linear_features,0,0.65,0.297069772879591,0.27758255075323,0.922947927517331,0.0001
20,1020,number_features,0,0.65,0.335451052749899,0.310058913341946,0.903863470257212,0.001
21,1021,linear_features,0,0,0.315709015036758,0.310715973735434,0.903455583665641,0.01
21,1021,number_features,0,0,0.32054194279034,0.311325580154273,0.903076383141605,0.000464158883361278
21,1021,linear_features,0,0.65,0.28087900914195,0.273732963745506,0.925070264559102,0.0001
21,1021,number_features,0,0.65,0.337834379504729,0.325547294672494,0.89401895893142,0.001
22,1022,linear_features,0,0,0.341922602338721,0.321559719551015,0.896599346762273,0.01
22,1022,number_features,0,0,0.333734259016696,0.328534771926693,0.892064903635076,0.000464158883361278
22,1022,linear_features,0,0.65,0.330332504435579,0.284866283944431,0.918851200271691,0.0001
22,1022,number_features,0,0.65,0.370816722631259,0.331090828036607,0.890378863590034,0.001
23,1023,linear_features,0,0,0.304213164585457,0.322130533751692,0.89623191922485,0.01
23,1023,number_features,0,0,0.304675698333094,0.319068653547737,0.898195194323234,0.000464158883361278
23,1023,linear_features,0,0.65,0.263180522737959,0.286650139245818,0.917831697670353,0.0001
23,1023,number_features,0,0.65,0.30174179841948,0.317669647478245,0.899085995071047,0.001
24,1024,linear_features,0,0,0.3296185559331,0.334764000762307,0.887933063793614,0.01
24,1024,number_features,0,0,0.337228995594432,0.343020759360235,0.882336758647927,0.000464158883361278
24,1024,linear_features,0,0.65,0.312362612579258,0.302959534161471,0.908215520660665,0.0001
24,1024,number_features,0,0.65,0.340764698143822,0.334697038904969,0.887977892148246,0.001
25,1025,linear_features,0,0,0.329153660520662,0.332631036616813,0.889356593479224,0.01
25,1025,number_features,0,0,0.313751335270553,0.327183975490846,0.892950646182005,0.000464158883361278
25,1025,linear_features,0,0.65,0.356894865822293,0.328108045074641,0.892345110757297,0.0001
25,1025,number_features,0,0.65,0.39648067316888,0.357774261335883,0.871997577925564,0.001
26,1026,linear_features,0,0,0.313160530819541,0.31323587736713,0.901883285130044,0.01
26,1026,number_features,0,0,0.317187115071212,0.312175366195049,0.902546540740987,0.000464158883361278
26,1026,linear_features,0,0.65,0.272871208569559,0.272457698269176,0.925766802653862,0.0001
26,1026,number_features,0,0.65,0.32698562189274,0.319651517033559,0.897822907658144,0.001
27,1027,linear_features,0,0,0.314959557948876,0.320409660278965,0.897337649599918,0.01
27,1027,number_features,0,0,0.313425980338037,0.320905574561275,0.897019612215498,0.000464158883361278
27,1027,linear_features,0,0.65,0.27266567568617,0.294453559892386,0.913297101066701,0.0001
27,1027,number_features,0,0.65,0.325521119843575,0.351458855801241,0.876476672678882,0.001
28,1028,linear_features,0,0,0.329360877838513,0.344191863170943,0.881531961326915,0.01
28,1028,number_features,0,0,0.334280339996654,0.340558054894541,0.884020211246447,0.000464158883361278
28,1028,linear_features,0,0.65,0.300399515098056,0.312084230724771,0.902603432932928,0.0001
28,1028,number_features,0,0.65,0.324203402129794,0.333933960535382,0.888488110001154,0.001
29,1029,linear_features,0,0,0.332154996189839,0.320984380908517,0.896969027212776,0.01
29,1029,number_features,0,0,0.335174867561497,0.320050086973034,0.897567941828553,0.000464158883361278
29,1029,linear_features,0,0.65,0.286776916427498,0.299223505024528,0.910465294040836,0.0001
29,1029,number_features,0,0.65,0.35063216479937,0.357938949964702,0.871879708098167,0.001
30,1030,linear_features,0,0,0.296295342625161,0.299049714714293,0.9105692681293,0.01
30,1030,number_features,0,0,0.300375522776946,0.306174282831437,0.906257308532655,0.000464158883361278
30,1030,linear_features,0,0.65,0.255059932793617,0.258646099748739,0.933102195084766,0.0001
30,1030,number_features,0,0.65,0.306580366475133,0.312930094015817,0.902074756259252,0.001
