seedIndex,conditionIndex,condition,J,gDeltaMode,inputMode,staticDisorderEnabled,validationNRMSE,normalizedCommutator,effectiveRank,conditionNumber
1,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.295989966980094,0,9.59645647421094,27.742499007085
1,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.257626834191702,0,7.74935183512499,31.1251698534483
1,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.263714449111016,0.448922391064272,13.1971594782287,15.9121872489382
1,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.264972189024256,0.448922391064272,13.0569842161828,15.057456217833
1,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.260508362805196,0.447731720750853,13.3386333723617,13.018286798129
1,6,"J=.65 drive only",0.65,zero,amplitude,1,0.37732961054131,0,11.4680516062816,25.2777854134251
1,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.256004145094191,0,9.1602957818612,26.0232204071524
1,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.263503589011208,0.448922391064272,12.1254919917367,174.087358073875
1,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.260525236745163,0.447731720750853,12.8734440293631,26.5698284725573
2,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.311295273699728,0,9.33949281783436,38.0332039058201
2,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.279980869653948,0,6.96811972252955,48.1630818073106
2,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.281152544747888,0.443970706455305,13.2899282431184,15.653190649372
2,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.283714934760464,0.443970706455305,13.0457123292984,15.7338275422191
2,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.278457351731416,0.447731720750853,13.2698070379546,15.6037843039697
2,6,"J=.65 drive only",0.65,zero,amplitude,1,0.386241711360076,0,11.8882491509628,18.7103837983813
2,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.269395021410505,0,7.92641684567543,33.4245604326278
2,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.277783872427551,0.443970706455305,11.8200546252207,259.751078147766
2,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.275776833133031,0.447731720750853,12.9670528475,20.1177553190054
3,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.295109704273671,0,9.47860485651552,25.7947272564732
3,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.260213055428645,0,8.40625827090521,32.9765165627493
3,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.267664840659972,0.45211413820881,13.2006099462283,15.1194343944653
3,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.266601117454181,0.45211413820881,12.7715478565873,15.2280433703199
3,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.256655631566939,0.447731720750853,13.0440368923906,13.8447963286025
3,6,"J=.65 drive only",0.65,zero,amplitude,1,0.378883023652563,0,10.784108070305,30.0335454543026
3,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.250433969476013,0,9.9010565179487,22.0208517110648
3,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.265185636924863,0.45211413820881,12.0031849987563,177.744570692526
3,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.260035343932263,0.447731720750853,12.4715473550761,19.2065592886855
4,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.29310652678259,0,9.60148537193065,25.9585513895102
4,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.254129712019341,0,8.01112958273817,30.6255575225306
4,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.252385666028475,0.444272272306149,13.2279774792462,14.6403906893439
4,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.254463633239506,0.444272272306149,12.9514997835019,15.3431068124188
4,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.253638858810444,0.447731720750853,12.7632767893113,17.8900653985897
4,6,"J=.65 drive only",0.65,zero,amplitude,1,0.376724160344034,0,11.0315559724235,20.804011479389
4,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.254670921936367,0,9.08328213345354,31.3579295576475
4,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.249244332789081,0.444272272306149,12.5325161233771,277.011701533145
4,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.245970785204133,0.447731720750853,12.3950887629194,22.2201233470834
5,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.30674609533591,0,9.74645468718751,40.2688658043846
5,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.254741043481202,0,10.1332355301398,34.3673301004649
5,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.265081806558794,0.446462084228493,12.3032660832957,23.4051489619991
