seedIndex,conditionIndex,condition,capacityType,lagA,lagB,capacity
1,1,"J=0, heterogeneous, both",linear,1,0,0.836134794966588
1,1,"J=0, heterogeneous, both",linear,2,0,0.414256173005344
1,1,"J=0, heterogeneous, both",linear,3,0,0.41306755537709
1,1,"J=0, heterogeneous, both",linear,4,0,0.341080618901263
1,1,"J=0, heterogeneous, both",linear,5,0,0.330528505810558
1,1,"J=0, heterogeneous, both",linear,6,0,0.328761263288032
1,1,"J=0, heterogeneous, both",linear,7,0,0.306012908755311
1,1,"J=0, heterogeneous, both",linear,8,0,0.301127795531699
1,1,"J=0, heterogeneous, both",linear,9,0,0.301407306552571
1,1,"J=0, heterogeneous, both",linear,10,0,0.292654959323628
1,1,"J=0, heterogeneous, both",linear,11,0,0.28962971262239
1,1,"J=0, heterogeneous, both",linear,12,0,0.291422252969944
1,1,"J=0, heterogeneous, both",linear,13,0,0.290247359848606
1,1,"J=0, heterogeneous, both",linear,14,0,0.282804432951032
1,1,"J=0, heterogeneous, both",linear,15,0,0.281916344041521
1,1,"J=0, heterogeneous, both",linear,16,0,0.281893424678375
1,1,"J=0, heterogeneous, both",linear,17,0,0.276057660338181
1,1,"J=0, heterogeneous, both",linear,18,0,0.271519500580895
1,1,"J=0, heterogeneous, both",linear,19,0,0.272794111026886
1,1,"J=0, heterogeneous, both",linear,20,0,0.27529019403507
1,1,"J=0, heterogeneous, both",quadratic,1,1,0
1,1,"J=0, heterogeneous, both",quadratic,2,2,0
1,1,"J=0, heterogeneous, both",quadratic,3,3,0.000222747082190611
1,1,"J=0, heterogeneous, both",quadratic,4,4,0.0013710760459007
1,1,"J=0, heterogeneous, both",quadratic,5,5,0.00247166271748256
1,1,"J=0, heterogeneous, both",quadratic,6,6,5.62211899364229e-05
1,1,"J=0, heterogeneous, both",quadratic,7,7,0
1,1,"J=0, heterogeneous, both",quadratic,8,8,0
1,1,"J=0, heterogeneous, both",quadratic,9,9,0
1,1,"J=0, heterogeneous, both",quadratic,10,10,0
1,1,"J=0, heterogeneous, both",cross_product,1,2,0.000782197624630276
1,1,"J=0, heterogeneous, both",cross_product,1,3,0.00489428649114321
1,1,"J=0, heterogeneous, both",cross_product,1,4,0.0165332914867118
1,1,"J=0, heterogeneous, both",cross_product,1,5,0.00567984990544512
1,1,"J=0, heterogeneous, both",cross_product,1,6,8.062134890785e-05
1,1,"J=0, heterogeneous, both",cross_product,1,7,0.000627488497137452
1,1,"J=0, heterogeneous, both",cross_product,1,8,0
1,1,"J=0, heterogeneous, both",cross_product,1,9,0.0101899848296974
1,1,"J=0, heterogeneous, both",cross_product,1,10,0.00845189689873793
1,1,"J=0, heterogeneous, both",cross_product,2,3,0.00356212567331005
1,1,"J=0, heterogeneous, both",cross_product,2,4,0.00768564726427245
1,1,"J=0, heterogeneous, both",cross_product,2,5,0.0120615273008482
1,1,"J=0, heterogeneous, both",cross_product,2,6,0.00316733454854834
1,1,"J=0, heterogeneous, both",cross_product,2,7,0
1,1,"J=0, heterogeneous, both",cross_product,2,8,0.00173052399542106
1,1,"J=0, heterogeneous, both",cross_product,2,9,0
1,1,"J=0, heterogeneous, both",cross_product,2,10,0.0142324433364018
1,1,"J=0, heterogeneous, both",cross_product,3,4,0.00632537143380563
1,1,"J=0, heterogeneous, both",cross_product,3,5,0.00649115805726974
1,1,"J=0, heterogeneous, both",cross_product,3,6,0.00516853895258684
1,1,"J=0, heterogeneous, both",cross_product,3,7,0
1,1,"J=0, heterogeneous, both",cross_product,3,8,0
1,1,"J=0, heterogeneous, both",cross_product,3,9,0.00598732834323701
1,1,"J=0, heterogeneous, both",cross_product,3,10,0.00333524623638448
1,1,"J=0, heterogeneous, both",cross_product,4,5,0.00696655977042138
1,1,"J=0, heterogeneous, both",cross_product,4,6,0.00482305655971649
1,1,"J=0, heterogeneous, both",cross_product,4,7,6.16476883857908e-05
1,1,"J=0, heterogeneous, both",cross_product,4,8,0
1,1,"J=0, heterogeneous, both",cross_product,4,9,0
1,1,"J=0, heterogeneous, both",cross_product,4,10,0.0103728371260295
1,1,"J=0, heterogeneous, both",cross_product,5,6,0.00398607431364095
1,1,"J=0, heterogeneous, both",cross_product,5,7,0.00257493099396644
1,1,"J=0, heterogeneous, both",cross_product,5,8,0
1,1,"J=0, heterogeneous, both",cross_product,5,9,0
1,1,"J=0, heterogeneous, both",cross_product,5,10,0
1,1,"J=0, heterogeneous, both",cross_product,6,7,0.00230441566212003
1,1,"J=0, heterogeneous, both",cross_product,6,8,0.000396290711766834
1,1,"J=0, heterogeneous, both",cross_product,6,9,0.00518963718543086
1,1,"J=0, heterogeneous, both",cross_product,6,10,0.0014850173299269
1,1,"J=0, heterogeneous, both",cross_product,7,8,0.00277066679852733
1,1,"J=0, heterogeneous, both",cross_product,7,9,5.75608603287092e-05
1,1,"J=0, heterogeneous, both",cross_product,7,10,0.011864026310773
1,1,"J=0, heterogeneous, both",cross_product,8,9,0.00549865418900253
1,1,"J=0, heterogeneous, both",cross_product,8,10,0.00168218509695561
1,1,"J=0, heterogeneous, both",cross_product,9,10,0.00773718950502111
2,1,"J=0, heterogeneous, both",linear,1,0,0.87493311529929
2,1,"J=0, heterogeneous, both",linear,2,0,0.440011711282011
2,1,"J=0, heterogeneous, both",linear,3,0,0.433178478050534
2,1,"J=0, heterogeneous, both",linear,4,0,0.349088774657861
2,1,"J=0, heterogeneous, both",linear,5,0,0.348193434707056
2,1,"J=0, heterogeneous, both",linear,6,0,0.340196980820523
2,1,"J=0, heterogeneous, both",linear,7,0,0.320726891342261
2,1,"J=0, heterogeneous, both",linear,8,0,0.319217445192209
2,1,"J=0, heterogeneous, both",linear,9,0,0.31750428333557
2,1,"J=0, heterogeneous, both",linear,10,0,0.307089258522181
2,1,"J=0, heterogeneous, both",linear,11,0,0.30548698788564
2,1,"J=0, heterogeneous, both",linear,12,0,0.307328974916095
2,1,"J=0, heterogeneous, both",linear,13,0,0.302372762545879
2,1,"J=0, heterogeneous, both",linear,14,0,0.300349038402214
2,1,"J=0, heterogeneous, both",linear,15,0,0.302148399767236
2,1,"J=0, heterogeneous, both",linear,16,0,0.301859906122719
2,1,"J=0, heterogeneous, both",linear,17,0,0.29580629998002
2,1,"J=0, heterogeneous, both",linear,18,0,0.295901772754584
2,1,"J=0, heterogeneous, both",linear,19,0,0.296912807679202
2,1,"J=0, heterogeneous, both",linear,20,0,0.292244690499068
2,1,"J=0, heterogeneous, both",quadratic,1,1,0
2,1,"J=0, heterogeneous, both",quadratic,2,2,5.07649358131301e-05
2,1,"J=0, heterogeneous, both",quadratic,3,3,0
2,1,"J=0, heterogeneous, both",quadratic,4,4,0.000276818183006622
2,1,"J=0, heterogeneous, both",quadratic,5,5,0.000422496517154314
2,1,"J=0, heterogeneous, both",quadratic,6,6,0.000531846548381232
2,1,"J=0, heterogeneous, both",quadratic,7,7,0
2,1,"J=0, heterogeneous, both",quadratic,8,8,0
2,1,"J=0, heterogeneous, both",quadratic,9,9,0
2,1,"J=0, heterogeneous, both",quadratic,10,10,0
2,1,"J=0, heterogeneous, both",cross_product,1,2,0
2,1,"J=0, heterogeneous, both",cross_product,1,3,0.00155790492551533
2,1,"J=0, heterogeneous, both",cross_product,1,4,0.00519730936227514
2,1,"J=0, heterogeneous, both",cross_product,1,5,0.00083385870431163
2,1,"J=0, heterogeneous, both",cross_product,1,6,0.00362016786510733
2,1,"J=0, heterogeneous, both",cross_product,1,7,0
2,1,"J=0, heterogeneous, both",cross_product,1,8,0
2,1,"J=0, heterogeneous, both",cross_product,1,9,0
2,1,"J=0, heterogeneous, both",cross_product,1,10,0
2,1,"J=0, heterogeneous, both",cross_product,2,3,0.000299489023114052
2,1,"J=0, heterogeneous, both",cross_product,2,4,0.00390468841533009
2,1,"J=0, heterogeneous, both",cross_product,2,5,0.00453351719219408
2,1,"J=0, heterogeneous, both",cross_product,2,6,0.00207750869506285
2,1,"J=0, heterogeneous, both",cross_product,2,7,0
2,1,"J=0, heterogeneous, both",cross_product,2,8,0
2,1,"J=0, heterogeneous, both",cross_product,2,9,0
2,1,"J=0, heterogeneous, both",cross_product,2,10,0
2,1,"J=0, heterogeneous, both",cross_product,3,4,0.00307866622184227
2,1,"J=0, heterogeneous, both",cross_product,3,5,0.00576252822705581
2,1,"J=0, heterogeneous, both",cross_product,3,6,0.00318897456878686
2,1,"J=0, heterogeneous, both",cross_product,3,7,0.000242735448209519
2,1,"J=0, heterogeneous, both",cross_product,3,8,0
2,1,"J=0, heterogeneous, both",cross_product,3,9,0
2,1,"J=0, heterogeneous, both",cross_product,3,10,0
2,1,"J=0, heterogeneous, both",cross_product,4,5,0.00214626701761156
2,1,"J=0, heterogeneous, both",cross_product,4,6,0.00348729154680727
2,1,"J=0, heterogeneous, both",cross_product,4,7,0.000350820072326674
2,1,"J=0, heterogeneous, both",cross_product,4,8,0
2,1,"J=0, heterogeneous, both",cross_product,4,9,0
2,1,"J=0, heterogeneous, both",cross_product,4,10,0
2,1,"J=0, heterogeneous, both",cross_product,5,6,0.00099715834643499
2,1,"J=0, heterogeneous, both",cross_product,5,7,0
2,1,"J=0, heterogeneous, both",cross_product,5,8,0
2,1,"J=0, heterogeneous, both",cross_product,5,9,0
2,1,"J=0, heterogeneous, both",cross_product,5,10,0
2,1,"J=0, heterogeneous, both",cross_product,6,7,0
2,1,"J=0, heterogeneous, both",cross_product,6,8,0
2,1,"J=0, heterogeneous, both",cross_product,6,9,0
2,1,"J=0, heterogeneous, both",cross_product,6,10,0
2,1,"J=0, heterogeneous, both",cross_product,7,8,0
2,1,"J=0, heterogeneous, both",cross_product,7,9,0
2,1,"J=0, heterogeneous, both",cross_product,7,10,0
2,1,"J=0, heterogeneous, both",cross_product,8,9,0
2,1,"J=0, heterogeneous, both",cross_product,8,10,0.000488891478642506
2,1,"J=0, heterogeneous, both",cross_product,9,10,0
3,1,"J=0, heterogeneous, both",linear,1,0,0.750639329474226
3,1,"J=0, heterogeneous, both",linear,2,0,0.387801144371756
3,1,"J=0, heterogeneous, both",linear,3,0,0.38714017733052
3,1,"J=0, heterogeneous, both",linear,4,0,0.340671496632615
3,1,"J=0, heterogeneous, both",linear,5,0,0.316132571338747
