trajectoryId,selectionIndex,seedOffset,datasetSeed,K,J,inputGainScale,stepsPerSample,virtualSamples,nDelayBlocks,nPC,readoutCoefficients,validationNRMSE,ridgeLambda
1,1,101,102041,0,0.65,0.75,35,6,11,31,342,0.317364067038222,1
1,1,101,102041,0,0.65,0.75,35,6,13,26,339,0.314391330179691,1
1,1,101,102041,0,0.65,0.75,35,10,11,31,342,0.31731922167904,1
1,1,101,102041,0,0.65,0.75,35,10,13,26,339,0.314027620781074,1
2,1,101,102041,0,0.65,0.75,55,6,11,31,342,0.296856418565265,1
2,1,101,102041,0,0.65,0.75,55,6,13,26,339,0.294020004013961,1
2,1,101,102041,0,0.65,0.75,55,10,11,31,342,0.296730658363495,1
2,1,101,102041,0,0.65,0.75,55,10,13,26,339,0.293828939979237,1
3,1,101,102041,0,0.65,1,35,6,11,31,342,0.31631972991884,1
3,1,101,102041,0,0.65,1,35,6,13,26,339,0.311147588253622,1
3,1,101,102041,0,0.65,1,35,10,11,31,342,0.316419738739079,1
3,1,101,102041,0,0.65,1,35,10,13,26,339,0.311002685618667,1
4,1,101,102041,0,0.65,1,55,6,11,31,342,0.291595118411722,1
4,1,101,102041,0,0.65,1,55,6,13,26,339,0.289405487386898,1
4,1,101,102041,0,0.65,1,55,10,11,31,342,0.29132910793248,1
4,1,101,102041,0,0.65,1,55,10,13,26,339,0.2891769861127,1
5,1,101,102041,0,0.65,1.25,35,6,11,31,342,0.316165877379432,1
5,1,101,102041,0,0.65,1.25,35,6,13,26,339,0.309241177819911,1
5,1,101,102041,0,0.65,1.25,35,10,11,31,342,0.316330530605429,1
5,1,101,102041,0,0.65,1.25,35,10,13,26,339,0.309197583942129,1
6,1,101,102041,0,0.65,1.25,55,6,11,31,342,0.289754651362286,1
6,1,101,102041,0,0.65,1.25,55,6,13,26,339,0.286256093890641,1
6,1,101,102041,0,0.65,1.25,55,10,11,31,342,0.289275113268646,1
6,1,101,102041,0,0.65,1.25,55,10,13,26,339,0.286014948634288,1
7,1,101,102041,-0.02,0.65,0.75,35,6,11,31,342,0.321143576532651,1
7,1,101,102041,-0.02,0.65,0.75,35,6,13,26,339,0.318180535612888,1
7,1,101,102041,-0.02,0.65,0.75,35,10,11,31,342,0.321139643062988,1
7,1,101,102041,-0.02,0.65,0.75,35,10,13,26,339,0.317408441760768,1
8,1,101,102041,-0.02,0.65,0.75,55,6,11,31,342,0.287541095611644,1
8,1,101,102041,-0.02,0.65,0.75,55,6,13,26,339,0.290644514397474,1
8,1,101,102041,-0.02,0.65,0.75,55,10,11,31,342,0.287430095877623,1
8,1,101,102041,-0.02,0.65,0.75,55,10,13,26,339,0.290380187696607,1
9,1,101,102041,-0.02,0.65,1,35,6,11,31,342,0.319233594183369,1
9,1,101,102041,-0.02,0.65,1,35,6,13,26,339,0.314784404451052,1
9,1,101,102041,-0.02,0.65,1,35,10,11,31,342,0.319262343041458,1
9,1,101,102041,-0.02,0.65,1,35,10,13,26,339,0.314286362906689,1
10,1,101,102041,-0.02,0.65,1,55,6,11,31,342,0.283445341367989,1
10,1,101,102041,-0.02,0.65,1,55,6,13,26,339,0.284850976523289,1
10,1,101,102041,-0.02,0.65,1,55,10,11,31,342,0.28340682249203,1
10,1,101,102041,-0.02,0.65,1,55,10,13,26,339,0.284592959991279,1
11,1,101,102041,-0.02,0.65,1.25,35,6,11,31,342,0.318229848871593,1
11,1,101,102041,-0.02,0.65,1.25,35,6,13,26,339,0.312711392429646,1
11,1,101,102041,-0.02,0.65,1.25,35,10,11,31,342,0.318269703631667,1
11,1,101,102041,-0.02,0.65,1.25,35,10,13,26,339,0.312421421026921,1
12,1,101,102041,-0.02,0.65,1.25,55,6,11,31,342,0.281336829155947,1
12,1,101,102041,-0.02,0.65,1.25,55,6,13,26,339,0.280893327819208,1
12,1,101,102041,-0.02,0.65,1.25,55,10,11,31,342,0.28136051196802,1
12,1,101,102041,-0.02,0.65,1.25,55,10,13,26,339,0.28070289015229,1
13,2,102,103050,0,0.65,0.75,35,6,11,31,342,0.341776504068352,1
13,2,102,103050,0,0.65,0.75,35,6,13,26,339,0.344715881870011,1
13,2,102,103050,0,0.65,0.75,35,10,11,31,342,0.340277900699412,1
13,2,102,103050,0,0.65,0.75,35,10,13,26,339,0.344139282992322,1
14,2,102,103050,0,0.65,0.75,55,6,11,31,342,0.315900188615722,1
14,2,102,103050,0,0.65,0.75,55,6,13,26,339,0.324841172497657,1
14,2,102,103050,0,0.65,0.75,55,10,11,31,342,0.316236630567796,1
14,2,102,103050,0,0.65,0.75,55,10,13,26,339,0.325771112949749,1
15,2,102,103050,0,0.65,1,35,6,11,31,342,0.337879051803542,1
15,2,102,103050,0,0.65,1,35,6,13,26,339,0.338820980419857,1
15,2,102,103050,0,0.65,1,35,10,11,31,342,0.336666076855379,1
15,2,102,103050,0,0.65,1,35,10,13,26,339,0.338065676984414,1
16,2,102,103050,0,0.65,1,55,6,11,31,342,0.30959088243646,1
16,2,102,103050,0,0.65,1,55,6,13,26,339,0.317134180171865,1
16,2,102,103050,0,0.65,1,55,10,11,31,342,0.309895150730146,1
16,2,102,103050,0,0.65,1,55,10,13,26,339,0.318187672894536,1
17,2,102,103050,0,0.65,1.25,35,6,11,31,342,0.335560829068814,1
17,2,102,103050,0,0.65,1.25,35,6,13,26,339,0.334639588581318,1
17,2,102,103050,0,0.65,1.25,35,10,11,31,342,0.334588766362796,1
17,2,102,103050,0,0.65,1.25,35,10,13,26,339,0.33380811259064,1
18,2,102,103050,0,0.65,1.25,55,6,11,31,342,0.30552365163297,1
18,2,102,103050,0,0.65,1.25,55,6,13,26,339,0.311483542682166,1
18,2,102,103050,0,0.65,1.25,55,10,11,31,342,0.305754324160772,1
18,2,102,103050,0,0.65,1.25,55,10,13,26,339,0.31255068879416,1
19,2,102,103050,-0.02,0.65,0.75,35,6,11,31,342,0.342547076107051,1
19,2,102,103050,-0.02,0.65,0.75,35,6,13,26,339,0.343830547509631,1
19,2,102,103050,-0.02,0.65,0.75,35,10,11,31,342,0.340916669480054,1
19,2,102,103050,-0.02,0.65,0.75,35,10,13,26,339,0.342224731489421,1
20,2,102,103050,-0.02,0.65,0.75,55,6,11,31,342,0.318571513956564,1
20,2,102,103050,-0.02,0.65,0.75,55,6,13,26,339,0.323407736353167,1
20,2,102,103050,-0.02,0.65,0.75,55,10,11,31,342,0.318954426397586,1
20,2,102,103050,-0.02,0.65,0.75,55,10,13,26,339,0.324192661023465,1
21,2,102,103050,-0.02,0.65,1,35,6,11,31,342,0.338908580617424,1
21,2,102,103050,-0.02,0.65,1,35,6,13,26,339,0.337794174063346,1
21,2,102,103050,-0.02,0.65,1,35,10,11,31,342,0.337558871832009,1
21,2,102,103050,-0.02,0.65,1,35,10,13,26,339,0.336004505555088,1
22,2,102,103050,-0.02,0.65,1,55,6,11,31,342,0.312676375484107,1
22,2,102,103050,-0.02,0.65,1,55,6,13,26,339,0.315449927527746,1
22,2,102,103050,-0.02,0.65,1,55,10,11,31,342,0.313025849161231,1
22,2,102,103050,-0.02,0.65,1,55,10,13,26,339,0.316166140780481,1
23,2,102,103050,-0.02,0.65,1.25,35,6,11,31,342,0.33682373480761,1
23,2,102,103050,-0.02,0.65,1.25,35,6,13,26,339,0.33372434389805,1
23,2,102,103050,-0.02,0.65,1.25,35,10,11,31,342,0.335631916246546,1
23,2,102,103050,-0.02,0.65,1.25,35,10,13,26,339,0.331944434170566,1
24,2,102,103050,-0.02,0.65,1.25,55,6,11,31,342,0.309103890094397,1
24,2,102,103050,-0.02,0.65,1.25,55,6,13,26,339,0.310215824231152,1
24,2,102,103050,-0.02,0.65,1.25,55,10,11,31,342,0.309414741216339,1
24,2,102,103050,-0.02,0.65,1.25,55,10,13,26,339,0.310806923762333,1
25,3,103,104059,0,0.65,0.75,35,6,11,31,342,0.325910832201385,1
25,3,103,104059,0,0.65,0.75,35,6,13,26,339,0.317629527840908,1
25,3,103,104059,0,0.65,0.75,35,10,11,31,342,0.325960570691915,1
25,3,103,104059,0,0.65,0.75,35,10,13,26,339,0.317858367522091,1
26,3,103,104059,0,0.65,0.75,55,6,11,31,342,0.286477801382955,1
26,3,103,104059,0,0.65,0.75,55,6,13,26,339,0.285261403507606,1
26,3,103,104059,0,0.65,0.75,55,10,11,31,342,0.287326344206411,1
26,3,103,104059,0,0.65,0.75,55,10,13,26,339,0.284581302571421,1
27,3,103,104059,0,0.65,1,35,6,11,31,342,0.325474562240555,1
27,3,103,104059,0,0.65,1,35,6,13,26,339,0.314613646845724,1
27,3,103,104059,0,0.65,1,35,10,11,31,342,0.325605090684441,1
27,3,103,104059,0,0.65,1,35,10,13,26,339,0.314820476105384,1
28,3,103,104059,0,0.65,1,55,6,11,31,342,0.283951879138235,1
28,3,103,104059,0,0.65,1,55,6,13,26,339,0.279557871246018,1
28,3,103,104059,0,0.65,1,55,10,11,31,342,0.284031041771073,1
28,3,103,104059,0,0.65,1,55,10,13,26,339,0.279033417282535,1
29,3,103,104059,0,0.65,1.25,35,6,11,31,342,0.325613655115556,1
29,3,103,104059,0,0.65,1.25,35,6,13,26,339,0.313230547944098,1
29,3,103,104059,0,0.65,1.25,35,10,11,31,342,0.325780403852017,1
29,3,103,104059,0,0.65,1.25,35,10,13,26,339,0.313373654280681,1
30,3,103,104059,0,0.65,1.25,55,6,11,31,342,0.282790652632417,1
30,3,103,104059,0,0.65,1.25,55,6,13,26,339,0.276435124340978,1
30,3,103,104059,0,0.65,1.25,55,10,11,31,342,0.282878805726762,1
30,3,103,104059,0,0.65,1.25,55,10,13,26,339,0.276019739828678,1
31,3,103,104059,-0.02,0.65,0.75,35,6,11,31,342,0.330818417133227,1
31,3,103,104059,-0.02,0.65,0.75,35,6,13,26,339,0.319055665572174,1
31,3,103,104059,-0.02,0.65,0.75,35,10,11,31,342,0.330871514335326,1
31,3,103,104059,-0.02,0.65,0.75,35,10,13,26,339,0.319079336719094,1
32,3,103,104059,-0.02,0.65,0.75,55,6,11,31,342,0.291365932615853,1
32,3,103,104059,-0.02,0.65,0.75,55,6,13,26,339,0.295961885399496,1
32,3,103,104059,-0.02,0.65,0.75,55,10,11,31,342,0.291237740691661,1
32,3,103,104059,-0.02,0.65,0.75,55,10,13,26,339,0.29402035510506,1
33,3,103,104059,-0.02,0.65,1,35,6,11,31,342,0.331257782875731,1
33,3,103,104059,-0.02,0.65,1,35,6,13,26,339,0.316082400344656,1
33,3,103,104059,-0.02,0.65,1,35,10,11,31,342,0.331359683969767,1
33,3,103,104059,-0.02,0.65,1,35,10,13,26,339,0.31604654036194,1
34,3,103,104059,-0.02,0.65,1,55,6,11,31,342,0.28740332463514,1
34,3,103,104059,-0.02,0.65,1,55,6,13,26,339,0.288656136411863,1
34,3,103,104059,-0.02,0.65,1,55,10,11,31,342,0.287191151796075,1
34,3,103,104059,-0.02,0.65,1,55,10,13,26,339,0.286741622209428,1
35,3,103,104059,-0.02,0.65,1.25,35,6,11,31,342,0.33141163896508,1
35,3,103,104059,-0.02,0.65,1.25,35,6,13,26,339,0.314247398397557,1
35,3,103,104059,-0.02,0.65,1.25,35,10,11,31,342,0.3315286764579,1
35,3,103,104059,-0.02,0.65,1.25,35,10,13,26,339,0.314438543637208,1
36,3,103,104059,-0.02,0.65,1.25,55,6,11,31,342,0.286841420434851,1
36,3,103,104059,-0.02,0.65,1.25,55,6,13,26,339,0.283201795966873,1
36,3,103,104059,-0.02,0.65,1.25,55,10,11,31,342,0.286614785092982,1
36,3,103,104059,-0.02,0.65,1.25,55,10,13,26,339,0.280979648267279,1
37,4,104,105068,0,0.65,0.75,35,6,11,31,342,0.311292234005024,1
37,4,104,105068,0,0.65,0.75,35,6,13,26,339,0.307016780284147,1
37,4,104,105068,0,0.65,0.75,35,10,11,31,342,0.310425506418081,1
37,4,104,105068,0,0.65,0.75,35,10,13,26,339,0.306329074169696,1
38,4,104,105068,0,0.65,0.75,55,6,11,31,342,0.269199559100246,1
38,4,104,105068,0,0.65,0.75,55,6,13,26,339,0.267110003954473,1
38,4,104,105068,0,0.65,0.75,55,10,11,31,342,0.268990863647708,1
38,4,104,105068,0,0.65,0.75,55,10,13,26,339,0.266388516276735,1
39,4,104,105068,0,0.65,1,35,6,11,31,342,0.310992154204346,1
39,4,104,105068,0,0.65,1,35,6,13,26,339,0.304620588302404,1
39,4,104,105068,0,0.65,1,35,10,11,31,342,0.309825074829364,1
39,4,104,105068,0,0.65,1,35,10,13,26,339,0.304196038106372,1
40,4,104,105068,0,0.65,1,55,6,11,31,342,0.26530073634705,1
