readoutId,readoutTrajectoryId,requestedVirtualSamples,actualVirtualSamples,virtualNodeIdx,tapSetIndex,tapDelays,nDelayBlocks,nPC,actualCoefficientsIncludingBias,rawQuadratureDimension
1,1,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
2,1,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
3,1,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
4,1,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
5,2,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
6,2,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
7,2,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
8,2,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
9,3,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
10,3,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
11,3,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
12,3,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
13,4,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
14,4,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
15,4,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
16,4,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
17,5,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
18,5,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
19,5,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
20,5,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
21,6,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
22,6,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
23,6,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
24,6,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
25,7,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
26,7,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
27,7,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
28,7,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
29,8,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
30,8,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
31,8,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
32,8,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
