K,J,inputGainScale,stepsPerSample,virtualSamples,nDelayBlocks,nPC,readoutCoefficients,globalLambda,meanValidationNRMSE,sdValidationNRMSE,medianValidationNRMSE,q25ValidationNRMSE,q75ValidationNRMSE
0,0.65,0.75,35,6,11,31,342,1,0.325531824933688,0.0190212620929149,0.319555938356086,0.312035648514799,0.341776504068352
0,0.65,0.75,35,6,13,26,339,1,0.322531328629906,0.0212709372555659,0.316010429010299,0.307016780284147,0.344715881870011
0,0.65,0.75,35,10,11,31,342,1,0.325212886174881,0.0190029821373459,0.318905818628068,0.311914838565902,0.340277900699412
0,0.65,0.75,35,10,13,26,339,1,0.322199288718695,0.0213915453348572,0.315942994151582,0.306329074169696,0.344139282992322
0,0.65,0.75,55,6,11,31,342,1,0.293603670508005,0.0189081883566823,0.28875439762245,0.282400672921235,0.296856418565265
0,0.65,0.75,55,6,13,26,339,1,0.292719798805904,0.0192944846648828,0.289677716407235,0.281480871588143,0.294020004013961
0,0.65,0.75,55,10,11,31,342,1,0.293808440614291,0.0192662046074334,0.289357456657823,0.282285322947864,0.296730658363495
0,0.65,0.75,55,10,13,26,339,1,0.292718446456608,0.0199243976170357,0.2898220785456,0.281273359180954,0.293828939979237
0,0.65,1,35,6,11,31,342,1,0.323679339469157,0.017543369991362,0.318013242593218,0.310992154204346,0.337879051803542
0,0.65,1,35,6,13,26,339,1,0.3190218766328,0.0196824977318158,0.312880617549673,0.304620588302404,0.338820980419857
0,0.65,1,35,10,11,31,342,1,0.323331904073045,0.017459409325099,0.317476417224025,0.310558474610854,0.336666076855379
0,0.65,1,35,10,13,26,339,1,0.31869866505957,0.0196685990406967,0.312911580862025,0.304196038106372,0.338065676984414
0,0.65,1,55,6,11,31,342,1,0.289703463122859,0.0173020565810139,0.286401312661984,0.281623017102961,0.291595118411722
0,0.65,1,55,6,13,26,339,1,0.287541083329919,0.017825835329363,0.285308119663802,0.277157179003983,0.289405487386898
0,0.65,1,55,10,11,31,342,1,0.289828838321709,0.0176337727883558,0.28644860949081,0.282009521043879,0.29132910793248
0,0.65,1,55,10,13,26,339,1,0.287632547301065,0.018384987046059,0.285432670714566,0.277061780470239,0.2891769861127
0,0.65,1.25,35,6,11,31,342,1,0.322931596813101,0.0162920832405265,0.31791533328891,0.311481092301694,0.335560829068814
0,0.65,1.25,35,6,13,26,339,1,0.316556448176221,0.0183846719719174,0.311235862882005,0.303369816937792,0.334639588581318
0,0.65,1.25,35,10,11,31,342,1,0.322537168109356,0.0161452750066391,0.317815733088886,0.309986386872264,0.334588766362796
0,0.65,1.25,35,10,13,26,339,1,0.316274021640843,0.0182180324710428,0.311285619111405,0.303319783541257,0.33380811259064
0,0.65,1.25,55,6,11,31,342,1,0.287511793648725,0.0160560075341857,0.284954732631658,0.279685242388399,0.289754651362286
0,0.65,1.25,55,6,13,26,339,1,0.284242701475724,0.0167440460486923,0.280918750312289,0.276097161751261,0.290362173043437
0,0.65,1.25,55,10,11,31,342,1,0.287625272431899,0.0163254758801853,0.284799312197413,0.280090733440154,0.289275113268646
0,0.65,1.25,55,10,13,26,339,1,0.284394176226312,0.0171681293449374,0.281000499944178,0.276019739828678,0.289774916265378
-0.02,0.65,0.75,35,6,11,31,342,1,0.32680494135741,0.0186533906004438,0.321290176626186,0.314388681365837,0.342547076107051
-0.02,0.65,0.75,35,6,13,26,339,1,0.323462089189135,0.0212312651991152,0.318618100592531,0.307554721412417,0.343830547509631
-0.02,0.65,0.75,35,10,11,31,342,1,0.326189100638625,0.0186456163790918,0.320767319369133,0.311919988088291,0.340916669480054
-0.02,0.65,0.75,35,10,13,26,339,1,0.323064828456041,0.0211080880797111,0.318243889239931,0.307300923756374,0.342224731489421
-0.02,0.65,0.75,55,6,11,31,342,1,0.292949766814179,0.0182084587762486,0.28907337980047,0.285925915851325,0.293536734293993
-0.02,0.65,0.75,55,6,13,26,339,1,0.29654200048959,0.0198696729240917,0.293303199898485,0.284554992255938,0.303191043446055
-0.02,0.65,0.75,55,10,11,31,342,1,0.292978071601688,0.0186785846249483,0.28889551094097,0.285827420670397,0.293936231226532
-0.02,0.65,0.75,55,10,13,26,339,1,0.296447698509586,0.0203362072185988,0.292200271400833,0.284525255479873,0.302849571351455
-0.02,0.65,1,35,6,11,31,342,1,0.325453166663582,0.0170987377234147,0.318751834082446,0.315056817971746,0.338908580617424
-0.02,0.65,1,35,6,13,26,339,1,0.319985404047465,0.0197262452449055,0.315433402397854,0.305605170107531,0.337794174063346
-0.02,0.65,1,35,10,11,31,342,1,0.325050700839611,0.0168891324234738,0.318416530071414,0.314029877257724,0.337558871832009
-0.02,0.65,1,35,10,13,26,339,1,0.319557107613611,0.0195369385271985,0.315166451634315,0.305164500265839,0.336004505555088
-0.02,0.65,1,55,6,11,31,342,1,0.289746722251018,0.0166621369558706,0.286290493208328,0.283445341367989,0.292191583126949
-0.02,0.65,1,55,6,13,26,339,1,0.291014166978305,0.0189804770144638,0.286753556467576,0.280882488944339,0.30241657988063
-0.02,0.65,1,55,10,11,31,342,1,0.289811418797884,0.0170528833450994,0.286154863695328,0.28340682249203,0.2924324384805
-0.02,0.65,1,55,10,13,26,339,1,0.290934542150594,0.0194087177998604,0.285667291100353,0.28084858920391,0.301768503199035
-0.02,0.65,1.25,35,6,11,31,342,1,0.324856546177665,0.0157264831560541,0.31813099596358,0.316188928149994,0.33682373480761
-0.02,0.65,1.25,35,6,13,26,339,1,0.317521701997808,0.0185033138699976,0.313479395413601,0.304520723555516,0.33372434389805
-0.02,0.65,1.25,35,10,11,31,342,1,0.324367703212531,0.0155490668090846,0.318123684183358,0.31417578374731,0.335631916246546
-0.02,0.65,1.25,35,10,13,26,339,1,0.317102704258536,0.0182642050836318,0.312937554742345,0.304046931070314,0.331944434170566
-0.02,0.65,1.25,55,6,11,31,342,1,0.287883102525138,0.0153980957375729,0.285884366182313,0.281336829155947,0.289388635905846
-0.02,0.65,1.25,55,6,13,26,339,1,0.286900169117687,0.0177637960999687,0.28204756189304,0.278373698381033,0.296422882321364
-0.02,0.65,1.25,55,10,11,31,342,1,0.288011132899618,0.0157089844965229,0.285751168681104,0.28136051196802,0.289505236896169
-0.02,0.65,1.25,55,10,13,26,339,1,0.286847315950415,0.0181936357132283,0.280841269209784,0.278087367084619,0.296049739127854
