trajectoryId,selectionIndex,seedOffset,K,J,inputGainScale,stepsPerSample,unionVirtualCount,unionVirtualNodeIdx,estimatedStateCacheMiB
1,1,101,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
2,1,101,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
3,1,101,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
4,1,101,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
5,1,101,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
6,1,101,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
7,1,101,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
8,1,101,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
9,1,101,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
10,1,101,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
11,1,101,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
12,1,101,-0.02,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
13,2,102,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
14,2,102,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
15,2,102,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
16,2,102,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
17,2,102,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
18,2,102,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
19,2,102,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
20,2,102,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
21,2,102,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
22,2,102,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
23,2,102,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
24,2,102,-0.02,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
25,3,103,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
26,3,103,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
27,3,103,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
28,3,103,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
29,3,103,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
30,3,103,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
31,3,103,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
32,3,103,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
33,3,103,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
34,3,103,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
35,3,103,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
36,3,103,-0.02,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
37,4,104,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
38,4,104,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
39,4,104,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
40,4,104,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
41,4,104,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
42,4,104,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
43,4,104,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
44,4,104,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
45,4,104,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
46,4,104,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
47,4,104,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
48,4,104,-0.02,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
49,5,105,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
50,5,105,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
51,5,105,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
52,5,105,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
53,5,105,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
54,5,105,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
55,5,105,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
56,5,105,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
57,5,105,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
58,5,105,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
59,5,105,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
60,5,105,-0.02,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
61,6,106,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
62,6,106,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
63,6,106,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
64,6,106,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
65,6,106,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
66,6,106,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
67,6,106,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
68,6,106,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
69,6,106,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
70,6,106,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
71,6,106,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
72,6,106,-0.02,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
73,7,107,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
74,7,107,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
75,7,107,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
76,7,107,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
77,7,107,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
78,7,107,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
79,7,107,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
80,7,107,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
81,7,107,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
82,7,107,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
83,7,107,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
84,7,107,-0.02,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
85,8,108,0,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
86,8,108,0,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
87,8,108,0,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
88,8,108,0,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
89,8,108,0,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
90,8,108,0,0.65,1.25,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
91,8,108,-0.02,0.65,0.75,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
92,8,108,-0.02,0.65,0.75,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
93,8,108,-0.02,0.65,1,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
94,8,108,-0.02,0.65,1,55,14,11;20;29;37;46;55;16;21;26;31;35;40;45;50,169.189453125
95,8,108,-0.02,0.65,1.25,35,12,7;13;18;24;29;35;10;16;19;23;26;32,145.01953125
